scenario_type,profile,target_cos,target_jac,len_ei,len_su,len_fo
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.6501,0.7931,275,430,159
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.6667,0.8889,226,378,24
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.7683,0.8690,285,493,301
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.5845,0.7397,301,395,237
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.5577,0.7188,256,516,211
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.8310,0.9355,379,444,53
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.6612,0.8026,340,481,221
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.6858,0.8148,319,474,293
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.5800,0.7344,272,542,249
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.7113,0.8378,323,455,187
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.6543,0.7912,312,434,392
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.5476,0.7105,355,638,297
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.7560,0.8630,319,685,247
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.5874,0.7403,346,431,316
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.5489,0.7179,414,392,240
trajectory_confusion_to_insight,cell_85_messages_recog_single_psycho,0.5656,0.7250,405,467,306
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.6631,0.8036,270,426,148
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.6090,0.7639,344,461,203
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.5832,0.7368,203,84,202
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.5421,0.7037,202,406,178
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6388,0.7805,403,480,309
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6763,0.8133,351,559,229
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6191,0.7692,302,593,185
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.5821,0.7429,332,461,222
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6901,0.8226,330,486,172
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.5726,0.7324,363,513,227
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6468,0.7857,259,440,257
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6311,0.7742,267,424,236
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6268,0.7711,340,444,287
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.7262,0.8434,337,466,250
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6858,0.8148,301,211,287
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.7295,0.8442,303,329,262
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.7735,0.8734,323,452,253
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6393,0.7808,311,389,259
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.7332,0.8493,328,375,223
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6323,0.7750,317,651,312
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6520,0.8195,1156,504,244
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.7288,0.8438,242,574,238
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6072,0.7662,372,412,213
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6435,0.7833,213,415,215
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6984,0.8226,215,476,235
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.5984,0.7500,302,426,229
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.7746,0.8958,229,400,53
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6669,0.8026,357,436,231
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.5488,0.7162,406,494,219
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.5863,0.7467,368,496,237
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.7183,0.8413,304,463,189
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.7125,0.8333,189,360,206
trajectory_overconfidence_to_humility,cell_85_messages_recog_single_psycho,0.6873,0.8148,183,357,206
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.8162,0.9028,338,399,179
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6270,0.7714,351,392,263
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.7865,0.8889,330,434,164
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.8138,0.8974,279,476,250
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.7186,0.8364,250,250,186
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.8018,0.8923,270,444,174
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.7791,0.8769,253,467,207
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6037,0.7544,207,334,257
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6701,0.8025,322,446,301
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.7397,0.8507,265,511,227
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.6931,0.8194,291,495,248
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.6039,0.7595,368,533,242
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.6212,0.7727,317,186,184
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.7908,0.8833,184,453,211
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.6857,0.8267,398,435,193
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7276,0.8594,347,482,120
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6657,0.8101,470,521,219
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6317,0.7778,342,456,245
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7064,0.8312,335,425,248
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7674,0.8684,308,435,300
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7009,0.8305,172,493,278
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6797,0.8267,438,585,160
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7327,0.8462,226,255,173
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.6191,0.7692,315,447,185
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.6389,0.8000,359,414,146
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.7391,0.8511,146,528,183
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.7566,0.8621,183,453,207
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6626,0.8000,324,421,220
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.7791,0.8769,260,351,170
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6843,0.8194,170,498,356
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6782,0.8101,356,477,292
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.4926,0.6625,381,288,332
trajectory_disengagement_to_ownership,cell_83_messages_base_multi_psycho,0.6755,0.8090,383,437,286
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.8243,0.9130,363,452,123
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6736,0.8056,293,526,235
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.5911,0.7436,361,445,331
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6594,0.7952,294,418,364
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.5373,0.7143,473,635,275
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6755,0.8068,385,376,339
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.5498,0.7108,374,461,332
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6572,0.7976,419,439,286
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6793,0.8182,335,461,183
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7010,0.8289,395,444,235
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7164,0.8382,305,444,203
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6914,0.8182,298,430,242
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6531,0.7903,251,460,224
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6713,0.8065,296,485,203
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6767,0.8209,332,458,153
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.6516,0.7969,314,495,157
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7607,0.8689,292,479,131
trajectory_disengagement_to_ownership,cell_85_messages_recog_single_psycho,0.7165,0.8364,216,411,184
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.6560,0.7937,245,554,213
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.6151,0.7647,322,474,227
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.6662,0.8000,222,420,212
trajectory_confusion_to_insight,cell_83_messages_base_multi_psycho,0.8209,0.9091,241,442,102
